StationID,COMID_WSC,COMID_GAGE,COMID_CAMELS,COMID_CLRHNA,COMID
01CB001,72042940.0,,,72042940.0,72042940.0
01CB002,72042940.0,,,72042940.0,72042940.0
01CB003,86020596.0,,,86020596.0,86020596.0
01CB004,72043082.0,,,72043082.0,72043082.0
01CB005,72042940.0,,,72042940.0,72042940.0
01CB006,72042940.0,,,72042940.0,72042940.0
01CB007,72042940.0,,,72042940.0,72042940.0
01CB008,72042940.0,,,72042940.0,72042940.0
01CB009,72042940.0,,,72042940.0,72042940.0
01CB010,72042940.0,,,72042940.0,72042940.0
01CB011,72042940.0,,,72042940.0,72042940.0
01CB012,72042940.0,,,72042940.0,72042940.0
01CB013,72042940.0,,,72042940.0,72042940.0
01CB014,72042940.0,,,72042940.0,72042940.0
01CB015,86020202.0,,,86020202.0,86020202.0
01CB018,86020596.0,,,86020596.0,86020596.0
01CC001,72042939.0,,,72042939.0,72042939.0
01CC002,72042891.0,,,72042891.0,72042891.0
01CC003,72042891.0,,,72042891.0,72042891.0
01CC004,86020202.0,,,86020202.0,86020202.0
01CC005,72046864.0,,,72046864.0,72046864.0
01CC006,72050779.0,,,72050779.0,72050779.0
01CC007,72042846.0,,,72042846.0,72042846.0
01CC008,72042782.0,,,72042782.0,72042782.0
01CC009,86020202.0,,,86020202.0,86020202.0
01CC010,72042891.0,,,72042891.0,72042891.0
01CC011,72042809.0,,,72042809.0,72042809.0
01CD001,72042334.0,,,72042334.0,72042334.0
01CD002,72042334.0,,,72042334.0,72042334.0
01CD003,72042334.0,,,72042334.0,72042334.0
01CD004,72042912.0,,,72042912.0,72042912.0
01CD005,86019776.0,,,86019776.0,86019776.0
01CE001,72050706.0,,,72050706.0,72050706.0
01CE002,72050534.0,,,72050534.0,72050534.0
01CE003,72050705.0,,,72050705.0,72050705.0
01CE004,72050705.0,,,72050705.0,72050705.0
01CE005,72050534.0,,,72050534.0,72050534.0
01CE006,72050775.0,,,72050775.0,72050775.0
01DA001,72052290.0,,,72052290.0,72052290.0
01DB001,72051855.0,,,72051855.0,72051855.0
01DB002,72052348.0,,,72052348.0,72052348.0
01DC001,72052495.0,,,72052495.0,72052495.0
01DC002,72051972.0,,,72051972.0,72051972.0
01DC003,72054448.0,,,72054614.0,72054448.0
01DC005,72051031.0,,,72051031.0,72051031.0
01DC006,72046453.0,,,72046453.0,72046453.0
01DC007,72051024.0,,,72051024.0,72051024.0
01DD001,72046706.0,,,72046706.0,72046706.0
01DD002,72048426.0,,,72048426.0,72048426.0
01DD003,72046706.0,,,72046706.0,72046706.0
01DD004,72048416.0,,,72048416.0,72048416.0
01DD005,72048559.0,,,72048559.0,72048559.0
01DE002,72052038.0,,,72052356.0,72052038.0
01DF001,72048060.0,,,72048060.0,72048060.0
01DG001,72047582.0,,,72047582.0,72047582.0
01DG002,72054543.0,,,72054543.0,72054543.0
01DG003,72054611.0,,72054611.0,72054611.0,72054611.0
01DG004,72054711.0,,,72054711.0,72054711.0
01DG006,72052247.0,,,72052247.0,72052247.0
01DG007,72052683.0,,,,72052683.0
01DG007&01DG041,,,,72052683.0,72052683.0
01DG017,72054469.0,,,72054469.0,72054469.0
01DG018,72048846.0,,,72048846.0,72048846.0
01DG019,72052091.0,,,72052091.0,72052091.0
01DG020,72054711.0,,,72054711.0,72054711.0
01DG021,72054711.0,,,72054711.0,72054711.0
01DG022,72054711.0,,,72054711.0,72054711.0
01DG023,72054711.0,,,72054711.0,72054711.0
01DG024,72054711.0,,,72054711.0,72054711.0
01DG025,72054711.0,,,72054711.0,72054711.0
01DG026,72054711.0,,,72054711.0,72054711.0
01DG027,72054711.0,,,72054711.0,72054711.0
01DG028,72054711.0,,,72054711.0,72054711.0
01DG029,72054711.0,,,72054711.0,72054711.0
01DG030,72054543.0,,,72054543.0,72054543.0
01DG031,72054711.0,,,72054711.0,72054711.0
01DG032,72054711.0,,,72054711.0,72054711.0
01DG033,72054711.0,,,72054711.0,72054711.0
01DG035,72052793.0,,,72052793.0,72052793.0
01DG041,72052793.0,,,,72052793.0
